Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Klay Thompson\thompkl01,26,78,78,2649,644,1376,.468,268,647,.414,376,729,.516,.565,186,218,.853,49,236,285,160,66,40,128,139,1742
2,Stephen Curry\curryst01,28,79,79,2638,675,1443,.468,324,789,.411,351,654,.537,.580,325,362,.898,61,292,353,524,142,17,239,183,1999
3,Draymond Green\greendr01,26,76,76,2471,272,650,.418,81,263,.308,191,387,.494,.481,151,213,.709,98,501,599,533,154,106,184,217,776
4,Kevin Durant\duranke01,28,62,62,2070,551,1026,.537,117,312,.375,434,714,.608,.594,336,384,.875,39,474,513,300,66,99,138,117,1555
5,Andre Iguodala\iguodan01,33,76,0,1998,219,415,.528,64,177,.362,155,238,.651,.605,72,102,.706,51,253,304,261,76,39,58,97,574
6,Shaun Livingston\livinsh01,31,76,3,1345,173,316,.547,1,3,.333,172,313,.550,.549,42,60,.700,28,123,151,139,38,20,62,120,389
7,Zaza Pachulia\pachuza01,32,70,70,1268,164,307,.534,0,2,.000,164,305,.538,.534,98,126,.778,140,270,410,132,59,33,87,166,426
8,Ian Clark\clarkia01,25,77,0,1137,211,433,.487,61,163,.374,150,270,.556,.558,44,58,.759,22,99,121,90,39,8,55,77,527
9,Patrick McCaw\mccawpa01,21,71,20,1074,106,245,.433,41,123,.333,65,122,.533,.516,29,37,.784,21,79,100,77,32,15,36,62,282
10,David West\westda01,36,68,0,854,135,252,.536,3,8,.375,132,244,.541,.542,43,56,.768,47,156,203,151,42,48,78,105,316
11,JaVale McGee\mcgeeja01,29,77,10,739,208,319,.652,0,3,.000,208,316,.658,.652,56,111,.505,100,144,244,17,19,67,40,109,472
12,James Michael McAdoo\mcadoja01,24,52,2,457,62,117,.530,2,8,.250,60,109,.550,.538,21,42,.500,34,57,91,18,18,29,19,47,147
13,Kevon Looney\looneke01,20,53,4,447,56,107,.523,2,9,.222,54,98,.551,.533,21,34,.618,44,80,124,29,15,17,17,64,135
14,Matt Barnes\barnema02,36,20,5,410,38,90,.422,18,52,.346,20,38,.526,.522,20,23,.870,15,76,91,45,12,9,24,47,114
15,Anderson Varejão\varejan01,34,14,1,92,5,14,.357,0,0,,5,14,.357,.357,8,11,.727,12,15,27,10,3,3,8,16,18
16,Damian Jones\jonesda03,21,10,0,85,8,16,.500,0,0,,8,16,.500,.500,3,10,.300,9,14,23,0,1,4,6,15,19
17,Briante Weber\weberbr01,24,7,0,46,5,14,.357,0,3,.000,5,11,.455,.357,2,3,.667,0,4,4,5,3,1,3,4,12
